Pl Code Longitude  Latitude     Altitude rho_cos   rho_sin_phi  region         name
 3 000    0.0000   +51.477379     65.985 0.62411   +0.77873     UK/England     Greenwich
 3 001    0.1542   +51.051835    267.895 0.62992   +0.77411     UK/England     Crowborough
 3 002    0.62     +51.652979   3041.392 0.622     +0.781       UK/England     Rayleigh
 3 003    3.90     +43.650525   2466.725 0.725     +0.687       France         Montpellier
 3 004    1.4625   +43.612279    177.272 0.72520   +0.68627     France         Toulouse
 3 005    2.23100  +48.805069    157.735 0.659891  +0.748875    France         Meudon
 3 006    2.12417  +41.418524    372.605 0.751042  +0.658129    Spain          Fabra Observatory, Barcelona
 3 007    2.33675  +48.836384     60.339 0.659470  +0.749223    France         Paris
 3 008    3.0355   +36.801463    321.739 0.80172   +0.59578     Algeria        Algiers-Bouzareah
 3 009    7.4417   +46.953793   -107.241 0.6838    +0.7272      Switzerland    Berne-Uecht
 3 010    6.92124  +43.750945   1266.252 0.723655  +0.688135    France         Caussols
 3 011    8.7975   +47.319327    551.394 0.67920   +0.73161     Switzerland    Wetzikon
 3 012    4.35821  +50.798599    105.369 0.633333  +0.771306    Belgium        Uccle
 3 013    4.48397  +52.154947      1.963 0.614813  +0.786029    Netherlands    Leiden
 3 014    5.39509  +43.305869     68.916 0.728859  +0.682384    France         Marseilles
 3 015    5.12929  +52.085463      4.290 0.615770  +0.785285    Netherlands    Utrecht
 3 016    5.9893   +47.250002    289.019 0.68006   +0.73076     France         Besancon
 3 017    6.84924  +50.161388    504.202 0.641946  +0.764282    Germany        Hoher List
 3 018    6.7612   +51.206991     35.055 0.62779   +0.77578     Germany        Dusseldorf-Bilk
 3 019    6.9575   +46.997440    511.411 0.68331   +0.72779     Switzerland    Neuchatel
 3 020    7.3004   +43.721542    390.994 0.72391   +0.68767     France         Nice
 3 021    8.3855   +49.024024    124.234 0.65701   +0.75138     Germany        Karlsruhe
 3 022    7.7748   +45.037805    656.589 0.70790   +0.70409     Italy          Pino Torinese
